foam rubber,entity,abstraction,relation,part,substance,material,discharge,exudate,latex,rubber,foam_rubber
free speech,entity,abstraction,communication,auditory_communication,speech
gloss paint,entity,physical_entity,object,whole,artifact,covering,coating,paint
gloss paint,entity,physical_entity,matter,substance,material,coloring_material,paint
gloss paint,entity,abstraction,relation,part,substance,material,coloring_material,paint
handwriting,entity,abstraction,communication,written_communication,writing,handwriting
hospitality,entity,abstraction,communication,message,acknowledgment,greeting,welcome,cordial_reception
immigration,entity,abstraction,psychological_feature,event,act,action,change,motion,migration,immigration
information,entity,abstraction,communication,message,information
lemon juice,entity,physical_entity,matter,substance,food,foodstuff,juice,lemon_juice
Main Street,entity,physical_entity,object,whole,artifact,way,road,thoroughfare,street,main_street
martial law,entity,abstraction,group,collection,law,martial_law
nail polish,entity,physical_entity,object,whole,artifact,instrumentality,toiletry,cosmetic,nail_polish
nail polish,entity,physical_entity,object,whole,artifact,covering,coating,enamel,nail_polish
noodle soup,entity,physical_entity,matter,substance,food,nutriment,dish,soup
outer space,entity,physical_entity,object,location,outer_space
outer space,entity,abstraction,attribute,space,outer_space
piped music,entity,abstraction,communication,auditory_communication,music
real estate,entity,abstraction,relation,possession,property,real_property
riot police,entity,abstraction,group,social_group,organization,force,police
riot police,entity,abstraction,group,social_group,organization,unit,administrative_unit,agency,law_enforcement_agency,police
rock bottom,entity,physical_entity,object,location,region,bottom,rock_bottom
Santa Claus,entity,abstraction,psychological_feature,cognition,ability,creativity,imagination,imaginary_being,santa_claus
Santa Claus,entity,physical_entity,causal_agent,person,preserver,defender,patron_saint,santa_claus
Santa Claus,entity,physical_entity,object,whole,living_thing,organism,person,preserver,defender,patron_saint,santa_claus
Santa Claus,entity,abstraction,psychological_feature,cognition,content,belief,spiritual_being,deity,saint,patron_saint,santa_claus
second best,entity,physical_entity,causal_agent,person,contestant,rival,runner-up
second best,entity,physical_entity,object,whole,living_thing,organism,person,contestant,rival,runner-up
second gear,entity,physical_entity,object,whole,artifact,instrumentality,device,mechanism,gear,second_gear
seriousness,entity,abstraction,attribute,state,feeling,gravity,earnestness
Shakespeare,entity,physical_entity,causal_agent,person,communicator,writer,dramatist,shakespeare
Shakespeare,entity,physical_entity,object,whole,living_thing,organism,person,communicator,writer,dramatist,shakespeare
Shakespeare,entity,physical_entity,causal_agent,person,communicator,writer,poet,shakespeare
Shakespeare,entity,physical_entity,object,whole,living_thing,organism,person,communicator,writer,poet,shakespeare
skin diving,entity,abstraction,psychological_feature,event,act,activity,diversion,sport,water_sport,swimming,skin_diving
social work,entity,abstraction,psychological_feature,event,act,activity,work,welfare_work,social_work
team spirit,entity,abstraction,attribute,trait,nature,disposition,esprit_de_corps
tit for tat,entity,abstraction,psychological_feature,event,act,group_action,return,tit_for_tat
tit for tat,entity,abstraction,psychological_feature,event,group_action,return,tit_for_tat
tonic water,entity,physical_entity,matter,substance,food,beverage,soft_drink,tonic
tonic water,entity,physical_entity,matter,substance,fluid,liquid,beverage,soft_drink,tonic
tonic water,entity,abstraction,relation,part,substance,fluid,liquid,beverage,soft_drink,tonic
accounting,entity,abstraction,communication,message,statement,explanation,accounting
anesthesia,entity,abstraction,attribute,state,condition,physical_condition,anesthesia
arithmetic,entity,abstraction,psychological_feature,cognition,content,knowledge_domain,discipline,science,mathematics,pure_mathematics,arithmetic
atmosphere,entity,abstraction,attribute,state,condition,atmosphere
basketball,entity,abstraction,psychological_feature,event,act,activity,game,athletic_game,court_game,basketball
basketball,entity,abstraction,psychological_feature,event,act,activity,diversion,sport,athletic_game,court_game,basketball
Bill Gates,entity,physical_entity,causal_agent,person,computer_user,computer_scientist,gates
Bill Gates,entity,physical_entity,object,whole,living_thing,organism,person,computer_user,computer_scientist,gates
Bill Gates,entity,physical_entity,causal_agent,person,scientist,computer_scientist,gates
Bill Gates,entity,physical_entity,object,whole,living_thing,organism,person,scientist,computer_scientist,gates
Bill Gates,entity,physical_entity,causal_agent,person,capitalist,businessperson,entrepreneur,gates
Bill Gates,entity,physical_entity,object,whole,living_thing,organism,person,capitalist,businessperson,entrepreneur,gates
bubble gum,entity,physical_entity,matter,substance,food,nutriment,dainty,sweet,chewing_gum,bubble_gum
confidence,entity,abstraction,attribute,state,condition,psychological_state,cognitive_state,certainty,assurance
discipline,entity,abstraction,psychological_feature,cognition,content,knowledge_domain,discipline
everything,No tag avaliable
eye shadow,entity,abstraction,attribute,state,illumination,dark,semidarkness,shade,shadow
eye strain,entity,abstraction,psychological_feature,event,happening,change,deformation,strain
folk music,entity,abstraction,communication,expressive_style,music_genre,popular_music,folk_music
folk music,entity,abstraction,communication,auditory_communication,music,music_genre,popular_music,folk_music
fried rice,entity,physical_entity,matter,substance,food,nutriment,dish,fried_rice
healthcare,entity,abstraction,psychological_feature,event,act,activity,work,care,healthcare
ice hockey,entity,abstraction,psychological_feature,event,act,activity,game,athletic_game,ice_hockey
ice hockey,entity,abstraction,psychological_feature,event,act,activity,diversion,sport,athletic_game,ice_hockey
ice hockey,entity,abstraction,psychological_feature,event,act,activity,diversion,sport,contact_sport,ice_hockey
literature,entity,abstraction,communication,written_communication,writing,literature
management,entity,abstraction,psychological_feature,event,act,group_action,social_control,management
management,entity,abstraction,psychological_feature,event,group_action,social_control,management
mass media,entity,abstraction,psychological_feature,event,act,communication,transmission,medium
media hype,act,interact,communicate,inform,tell,publicize,hype
medication,entity,physical_entity,causal_agent,agent,drug,medicine
medication,entity,physical_entity,matter,substance,agent,drug,medicine
net income,entity,abstraction,relation,possession,assets,sum,gain,financial_gain,income,net_income
penicillin,entity,physical_entity,causal_agent,agent,drug,medicine,antibacterial,antibiotic,penicillin
penicillin,entity,physical_entity,matter,substance,agent,drug,medicine,antibacterial,antibiotic,penicillin
permission,entity,abstraction,communication,message,approval,permission
petty cash,entity,abstraction,measure,system_of_measurement,standard,medium_of_exchange,money,fund,petty_cash
philosophy,entity,abstraction,psychological_feature,cognition,content,belief,doctrine
production,entity,abstraction,psychological_feature,event,act,production
psychology,entity,abstraction,psychological_feature,cognition,content,knowledge_domain,discipline,science,psychology
pubic hair,entity,physical_entity,object,whole,natural_object,covering,body_covering,hair,pubic_hair
roast beef,entity,physical_entity,matter,solid,food,meat,cut,roast,beef_roast
roast pork,entity,physical_entity,matter,solid,food,meat,cut,roast,pork_roast
Robin Hood,entity,abstraction,psychological_feature,cognition,ability,creativity,imagination,imaginary_being,fictional_character,robin_hood
shift work,entity,abstraction,psychological_feature,event,act,activity,work
sick leave,entity,abstraction,measure,fundamental_quantity,time_period,time_off,leave,sick_leave
silverware,entity,physical_entity,object,whole,artifact,article,ware,tableware,silverware
small talk,entity,abstraction,communication,auditory_communication,speech,conversation,chat,chitchat
sugar cane,entity,physical_entity,object,whole,natural_object,plant_part,plant_organ,stalk,cane,sugarcane
television,entity,physical_entity,object,whole,artifact,instrumentality,medium,telecommunication,broadcasting,television
